Date,Price,Open,High,Low,Vol.,Change %
03/30/2025,163.75,168.10,174.80,163.47,47.66M,-2.55%
03/23/2025,168.03,166.43,169.71,162.20,33.92M,0.80%
03/16/2025,166.69,168.37,171.09,164.12,48.42M,-0.76%
03/09/2025,167.97,176.76,179.99,166.62,45.64M,-4.54%
03/02/2025,175.95,173.58,179.99,172.84,42.99M,1.21%
02/23/2025,173.84,170.22,174.65,169.79,37.10M,2.12%
02/16/2025,170.23,163.35,170.55,162.20,30.96M,4.51%
02/09/2025,162.89,167.69,171.38,162.30,38.05M,-3.02%
02/02/2025,167.97,165.47,169.93,165.23,32.11M,1.19%
01/26/2025,165.99,166.72,169.94,165.21,30.34M,1.14%
01/19/2025,164.12,160.96,168.14,160.96,42.09M,1.86%
01/12/2025,161.13,159.35,161.75,158.31,33.85M,1.62%
01/05/2025,158.56,162.81,163.50,157.47,30.66M,-3.98%
12/29/2024,165.13,168.66,168.98,164.25,18.97M,-2.60%
12/22/2024,169.53,168.06,170.76,166.36,17.44M,0.87%
12/15/2024,168.06,171.45,172.78,167.35,50.11M,-1.75%
12/08/2024,171.06,173.63,173.76,169.93,26.58M,-1.59%
12/01/2024,173.82,179.12,180.16,173.46,31.44M,-3.03%
11/24/2024,179.26,177.48,180.43,176.90,34.98M,1.69%
11/17/2024,176.28,169.11,177.40,168.83,36.30M,3.98%
11/10/2024,169.54,167.00,170.57,165.57,35.67M,1.09%
11/03/2024,167.71,165.72,167.75,159.81,37.56M,1.58%
10/27/2024,165.10,169.28,169.66,164.99,28.47M,-1.85%
10/20/2024,168.22,170.98,171.48,168.04,28.61M,-1.79%
10/13/2024,171.28,171.02,174.90,168.46,34.62M,0.11%
10/06/2024,171.09,169.16,171.41,166.27,36.53M,1.31%
09/29/2024,168.88,173.73,174.00,168.26,30.44M,-2.69%
09/22/2024,173.55,174.01,175.18,171.36,34.16M,-0.38%
09/15/2024,174.22,174.71,177.31,170.38,54.09M,0.08%
09/08/2024,174.08,175.54,177.94,172.44,28.43M,-0.86%
09/01/2024,175.59,171.03,177.04,170.99,29.47M,2.36%
08/25/2024,171.54,168.70,171.88,168.58,28.29M,1.40%
08/18/2024,169.17,168.18,171.89,168.11,21.35M,0.76%
08/11/2024,167.89,169.40,169.68,165.82,31.59M,-1.55%
08/04/2024,170.54,170.88,171.72,166.67,37.94M,0.27%
07/28/2024,170.08,168.85,170.54,158.04,56.64M,0.57%
07/21/2024,169.11,167.93,170.09,165.57,30.07M,0.68%
07/14/2024,167.96,166.47,170.92,164.46,32.64M,0.81%
07/07/2024,166.61,165.95,167.64,164.78,25.09M,0.85%
06/30/2024,165.21,165.59,166.21,161.71,22.58M,0.18%
06/23/2024,164.92,168.76,169.41,164.58,35.31M,-1.99%
06/16/2024,168.26,165.85,168.88,165.40,35.04M,0.88%
06/09/2024,166.79,166.78,167.71,164.22,22.13M,-0.16%
06/02/2024,167.06,163.93,168.97,163.63,28.21M,1.53%
05/26/2024,164.54,164.49,164.77,161.42,25.92M,-0.48%
05/19/2024,165.33,167.55,168.54,165.15,22.04M,-1.38%
05/12/2024,167.64,166.85,168.34,163.95,28.33M,0.47%
05/05/2024,166.85,164.78,167.36,163.26,26.04M,1.45%
04/28/2024,164.46,161.17,164.71,160.41,31.50M,1.97%
04/21/2024,161.29,158.43,164.32,157.25,36.61M,1.99%
04/14/2024,158.14,156.42,158.18,153.52,38.33M,1.81%
04/07/2024,155.33,155.97,157.60,154.74,32.86M,-0.49%
03/31/2024,156.10,161.78,162.07,154.69,34.27M,-3.79%
03/24/2024,162.25,161.17,163.14,159.73,26.78M,0.36%
03/17/2024,161.66,161.48,162.72,161.00,28.71M,0.17%
03/10/2024,161.38,161.34,162.73,160.30,31.62M,0.64%
03/03/2024,160.35,157.74,161.24,157.67,23.59M,0.94%
02/25/2024,158.85,161.02,161.17,157.61,25.37M,-1.35%
02/18/2024,161.03,158.70,161.74,158.13,25.85M,2.23%
02/11/2024,157.51,157.36,158.97,154.91,30.12M,0.06%
02/04/2024,157.42,158.17,159.83,156.96,32.43M,-0.42%
01/28/2024,158.09,156.68,159.60,155.40,41.19M,1.25%
01/21/2024,156.14,146.97,156.40,146.28,60.49M,5.81%
01/14/2024,147.57,150.15,151.50,146.92,29.04M,-2.01%
01/07/2024,150.60,147.91,151.30,147.65,38.98M,2.16%
12/31/2023,147.42,146.36,149.41,146.31,27.30M,0.60%
12/24/2023,146.54,145.09,146.96,144.97,18.53M,0.87%
12/17/2023,145.28,144.17,147.49,143.13,31.84M,0.92%
12/10/2023,143.96,144.80,148.65,142.50,48.71M,-0.82%
12/03/2023,145.15,151.77,152.61,144.52,38.59M,-4.92%
11/26/2023,152.66,151.52,153.63,150.08,32.93M,0.85%
11/19/2023,151.38,150.21,151.74,148.83,20.67M,0.21%
11/12/2023,151.07,151.45,153.50,150.38,38.04M,-0.22%
11/05/2023,151.41,150.36,151.44,149.12,29.29M,0.89%
10/29/2023,150.07,147.90,152.29,147.54,30.52M,1.98%
10/22/2023,147.16,147.86,151.38,146.28,34.19M,-0.60%
10/15/2023,148.05,145.86,151.30,145.24,38.61M,2.32%
10/08/2023,144.69,143.36,145.56,141.60,29.57M,0.42%
10/01/2023,144.09,144.78,146.49,141.45,27.16M,-1.21%
09/24/2023,145.86,151.18,151.28,144.82,30.22M,-3.77%
09/17/2023,151.58,154.45,154.77,151.38,25.11M,-1.23%
09/10/2023,153.47,153.33,155.32,151.57,27.74M,0.35%
09/03/2023,152.93,153.80,154.85,151.54,17.18M,-1.02%
08/27/2023,154.51,153.71,155.28,152.03,20.94M,0.63%
08/20/2023,153.54,152.09,154.68,150.93,20.85M,0.66%
08/13/2023,152.54,157.13,157.53,151.17,29.44M,-2.85%
08/06/2023,157.02,155.67,158.38,155.49,21.20M,1.12%
07/30/2023,155.28,156.40,157.73,155.06,29.89M,-0.72%
07/23/2023,156.41,152.84,157.48,151.91,35.04M,2.28%
07/16/2023,152.93,149.65,153.67,148.14,32.57M,1.92%
07/09/2023,150.05,148.94,150.63,146.96,29.13M,0.84%
07/02/2023,148.80,151.48,152.53,148.75,29.40M,-1.94%
06/25/2023,151.74,148.10,152.07,146.72,30.93M,2.21%
06/18/2023,148.46,149.74,151.10,147.87,30.50M,-0.72%
06/11/2023,149.54,147.00,150.09,144.27,33.48M,2.03%
06/04/2023,146.56,146.05,147.85,143.47,26.34M,0.03%
05/28/2023,146.52,143.86,146.68,141.90,37.63M,0.77%
05/21/2023,145.40,152.50,152.60,144.35,30.97M,-5.07%
05/14/2023,153.17,156.61,156.92,151.60,27.05M,-1.79%
05/07/2023,155.96,155.35,156.05,152.44,22.93M,-0.04%
04/30/2023,156.03,156.03,157.57,154.69,23.76M,-0.22%
04/23/2023,156.38,155.22,157.94,154.34,31.86M,0.20%
04/16/2023,156.07,151.17,158.11,150.10,32.54M,3.36%
04/09/2023,151.00,151.65,152.41,149.51,27.31M,-0.80%
04/02/2023,152.22,148.43,152.96,147.09,23.93M,2.37%
03/26/2023,148.69,146.89,148.69,145.80,26.92M,1.34%
03/19/2023,146.72,143.50,146.76,142.84,33.80M,2.65%
03/12/2023,142.93,137.04,143.39,137.04,49.46M,4.18%
03/05/2023,137.19,140.73,141.13,136.10,26.46M,-2.67%
02/26/2023,140.95,139.61,141.24,136.51,30.82M,1.21%
02/19/2023,139.26,138.87,141.58,138.08,24.12M,-0.54%
02/12/2023,140.01,138.94,140.45,136.55,31.50M,1.27%
02/05/2023,138.26,142.01,142.64,135.83,34.17M,-3.05%
01/29/2023,142.61,140.96,144.10,140.28,35.39M,1.45%
01/22/2023,140.57,143.36,143.70,138.73,33.47M,-1.68%
01/15/2023,142.97,150.79,152.13,140.15,41.36M,-5.24%
01/08/2023,150.88,153.44,154.80,149.35,32.47M,-1.98%
01/01/2023,153.92,150.95,154.46,149.12,27.02M,1.56%
12/25/2022,151.56,152.70,154.65,150.44,16.75M,-0.69%
12/18/2022,152.62,150.22,152.92,149.24,25.86M,1.45%
12/11/2022,150.44,151.22,154.44,149.02,48.29M,-0.32%
12/04/2022,150.92,148.71,151.95,148.27,29.50M,0.21%
11/27/2022,150.61,146.39,150.77,144.53,36.52M,2.65%
11/20/2022,146.72,143.06,147.20,142.83,18.46M,2.91%
11/13/2022,142.57,140.51,143.56,139.70,33.30M,1.13%
11/06/2022,140.97,135.35,141.63,135.06,32.95M,4.86%
10/30/2022,134.44,135.20,136.54,130.96,32.86M,-0.58%
10/23/2022,135.22,129.49,135.51,128.35,34.01M,5.16%
10/16/2022,128.58,126.01,133.00,125.86,38.34M,2.80%
10/09/2022,125.08,123.37,127.02,122.18,31.69M,0.65%
10/02/2022,124.27,127.25,130.87,123.76,32.39M,-1.57%
09/25/2022,126.25,135.58,136.94,126.21,42.13M,-6.88%
09/18/2022,135.58,138.20,138.46,133.95,29.65M,-1.95%
09/11/2022,138.28,139.41,141.80,136.64,32.95M,-1.20%
