date_updated,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
2020-01-23,6,6,0,0,0,0
2020-01-30,11,5,0,0,0,0
2020-02-06,23,12,0,0,0,0
2020-02-13,36,13,0,0,0,0
2020-02-20,52,16,0,0,0,0
2020-02-27,79,27,0,0,0,0
2020-03-05,180,101,11,11,0,0
2020-03-12,1313,1133,33,22,0,0
2020-03-19,9038,7725,202,169,0,0
2020-03-26,68324,59286,1385,1183,0,0
2020-04-02,219588,151264,6641,5256,0,0
2020-04-09,436068,216480,19392,12751,0,0
2020-04-16,643284,207216,35045,15653,0,0
2020-04-23,842429,199145,50614,15569,0,0
2020-04-30,1042356,199927,64599,13985,0,0
2020-05-07,1230298,187942,77478,12879,0,0
2020-05-14,1390234,159936,87978,10500,0,0
2020-05-21,1547493,157259,97533,9555,0,0
2020-05-28,1693299,145806,104456,6923,0,0
2020-06-04,1837055,143756,111025,6569,0,0
2020-06-11,1984537,147482,116166,5141,0,0
2020-06-18,2138556,154019,120765,4599,0,0
2020-06-25,2348203,209647,124636,3871,0,0
2020-07-02,2640516,292313,128432,3796,0,0
2020-07-09,2997909,357393,132821,4389,0,0
2020-07-16,3422248,424339,138207,5386,0,0
2020-07-23,3881731,459483,144338,6131,0,0
2020-07-30,4337715,455984,151878,7540,0,0
2020-08-06,4750980,413265,159353,7475,0,0
2020-08-13,5151596,400616,166754,7401,0,0
2020-08-20,5502308,350712,173850,7096,0,0
2020-08-27,5798998,296690,180499,6649,0,0
2020-09-03,6084966,285968,186635,6136,0,0
2020-09-10,6343192,258226,191853,5218,0,0
2020-09-17,6620445,277253,197736,5883,0,0
2020-09-24,6913754,293309,203160,5424,0,0
2020-10-01,7214436,300682,208371,5211,0,0
2020-10-08,7524860,310424,213458,5087,0,0
2020-10-15,7888244,363384,218716,5258,0,0
2020-10-22,8318051,429807,224603,5887,0,0
2020-10-29,8843034,524983,230771,6168,0,0
2020-11-05,9504430,661396,237988,7217,0,0
2020-11-12,10405391,900961,246434,8446,0,0
2020-11-19,11523744,1118353,256320,9886,0,0
2020-11-26,12775680,1251936,269214,12894,0,0
2020-12-03,13958936,1183256,282168,12954,0,0
2020-12-10,15434890,1475954,299057,16889,0,0
2020-12-17,16972062,1537172,317909,18852,0,0
2020-12-24,18484860,1512798,337538,19629,0,0
2020-12-31,19802808,1317948,354990,17452,0,0
2021-01-07,21392815,1590007,374603,19613,0,0
2021-01-14,23101019,1708204,398236,23633,0,0
2021-01-21,24481292,1380273,419907,21671,0,0
2021-01-28,25610871,1129579,442683,22776,0,0
2021-02-04,26529227,918356,463887,21204,0,0
2021-02-11,27268025,738798,483259,19372,0,0
2021-02-18,27810672,542647,497582,14323,0,0
2021-02-25,28278382,467710,511270,13688,0,0
2021-03-04,28725496,447114,524805,13535,0,0
2021-03-11,29117514,392018,534472,9667,0,0
2021-03-18,29494069,376555,541957,7485,0,0
2021-03-25,29898629,404560,548962,7005,0,0
2021-04-01,30346823,448194,555106,6144,0,0
2021-04-08,30804754,457931,562106,7000,0,0
2021-04-15,31297933,493179,567165,5059,0,0
2021-04-22,31748869,450936,572095,4930,0,0
2021-04-29,32120414,371545,576969,4874,0,0
2021-05-06,32455280,334866,581806,4837,0,0
2021-05-13,32716870,261590,586090,4284,0,0
2021-05-20,32928894,212024,589997,3907,0,0
2021-05-27,33093329,164435,593892,3895,0,0
2021-06-03,33213707,120378,597525,3633,0,0
2021-06-10,33315233,101526,600268,2743,0,0
2021-06-17,33404267,89034,602627,2359,0,0
2021-06-24,33488850,84583,604722,2095,0,0
2021-07-01,33586964,98114,606665,1943,0,0
2021-07-08,33720394,133430,608363,1698,0,0
2021-07-15,33971503,251109,610310,1947,0,0
2021-07-22,34259660,288157,612361,2051,0,0
2021-07-29,34724404,464744,614788,2427,0,0
2021-08-05,35402676,678272,617924,3136,0,0
2021-08-12,36252931,850255,622899,4975,0,0
2021-08-19,37244529,991598,629261,6362,0,0
2021-08-26,38296966,1052437,637290,8029,0,0
2021-09-02,39477540,1180574,647675,10385,0,0
2021-09-09,40560724,1083184,658799,11124,0,0
2021-09-16,41619320,1058596,672886,14087,0,0
2021-09-23,42524111,904791,687462,14576,0,0
2021-09-30,43324503,800392,701661,14199,0,0
2021-10-07,44025193,700690,714506,12845,0,0
2021-10-14,44642805,617612,725919,11413,0,0
2021-10-21,45174672,531867,737974,12055,0,0
2021-10-28,45680805,506133,747667,9693,0,0
2021-11-04,46182693,501888,756240,8573,0,0
2021-11-11,46723945,541252,764490,8250,0,0
2021-11-18,47340811,616866,771990,7500,0,0
2021-11-25,48003619,662808,780080,8090,0,0
2021-12-02,48617982,614363,787331,7251,0,0
2021-12-09,49473355,855373,796144,8813,0,0
2021-12-16,50312506,839151,805709,9565,0,0
2021-12-23,51478220,1165714,817355,11646,0,0
2021-12-30,53619263,2141043,827271,9916,0,0
2022-01-06,57877466,4258203,836718,9447,0,0
2022-01-13,63354105,5476639,849949,13231,0,0
2022-01-20,68859641,5505536,864379,14430,0,0
2022-01-27,73267573,4407932,881783,17404,0,0
2022-02-03,75956286,2688713,899259,17476,0,0
2022-02-10,77432340,1476054,915664,16405,0,0
2022-02-17,78327077,894737,930877,15213,0,0
2022-02-24,78874541,547464,943696,12819,0,0
2022-03-03,79249629,375088,954274,10578,0,0
2022-03-10,79514593,264964,963348,9074,0,0
2022-03-17,79727921,213328,971197,7849,0,0
2022-03-24,79923310,195389,976831,5634,0,0
2022-03-31,80117602,194292,981516,4685,0,0
2022-04-07,80319236,201634,985354,3838,0,0
2022-04-14,80541713,222477,988668,3314,0,0
2022-04-21,80838898,297185,991327,2659,0,0
2022-04-28,81210395,371497,993992,2665,0,0
2022-05-05,81669226,458831,996448,2456,0,0
2022-05-12,82263031,593805,998623,2175,0,0
2022-05-19,82977167,714136,1000741,2118,0,0
2022-05-26,83744084,766917,1003265,2524,0,0
2022-06-02,84459463,715379,1005114,1849,0,0
2022-06-09,85223159,763696,1007338,2224,0,0
2022-06-16,85947586,724427,1009549,2211,0,0
2022-06-23,86633497,685911,1011595,2046,0,0
2022-06-30,87406321,772824,1014318,2723,0,0
2022-07-07,88178798,772477,1016682,2364,0,0
2022-07-14,89048044,869246,1019456,2774,0,0
2022-07-21,89945502,897458,1022400,2944,0,0
2022-07-28,90869439,923937,1025455,3055,0,0
2022-08-04,91702706,833267,1028824,3369,0,0
2022-08-11,92462417,759711,1032236,3412,0,0
2022-08-18,93164256,701839,1035500,3264,0,0
2022-08-25,93817293,653037,1038604,3104,0,0
2022-09-01,94430503,613210,1042381,3777,0,0
2022-09-08,94951573,521070,1045219,2838,0,0
2022-09-15,95419675,468102,1048414,3195,0,0
2022-09-22,95814042,394367,1051602,3188,0,0
2022-09-29,96153486,339444,1054932,2861,0,469
2022-10-06,96468399,314913,1057908,2976,0,0
2022-10-13,96733883,265484,1060418,2510,0,0
2022-10-20,96996078,262195,1062937,2519,0,0
2022-10-27,97258675,262597,1066056,2562,0,557
2022-11-03,97533018,274343,1068558,2496,0,6
2022-11-10,97824507,291489,1070840,2277,0,5
2022-11-17,98105948,281441,1073071,2231,0,0
2022-11-24,98415373,309425,1075705,2634,0,0
2022-12-01,98729956,314583,1077535,1830,0,0
2022-12-08,99198608,468652,1080629,2821,0,273
2022-12-15,99654143,455535,1083328,2699,0,0
2022-12-22,100170598,495058,1086374,3046,21397,0
2022-12-29,100569416,398818,1088915,2541,0,0
2023-01-05,101048935,479519,1091806,2891,0,0
2023-01-12,101483668,434733,1095921,4115,0,0
2023-01-19,101814491,330823,1099759,3838,0,0
2023-01-26,102118238,303747,1103539,3780,0,0
2023-02-02,102409656,286911,1106995,3473,4507,-17
2023-02-09,102689367,279711,1110343,3049,0,299
2023-02-16,102951376,262009,1113137,2732,0,62
2023-02-23,103216767,235441,1115467,2330,29950,0
2023-03-02,103446936,230169,1117650,2183,0,0
2023-03-09,103632824,185888,1119750,2100,0,0
2023-03-16,103803476,170305,1121561,1811,347,0
2023-03-23,103963212,157497,1123777,2216,2239,0
2023-03-30,104113899,145340,1125358,1581,5347,0
2023-04-06,104245858,131959,1127092,1734,0,0
2023-04-13,104356010,110152,1128379,1287,0,0
2023-04-20,104462913,106903,1129603,1224,0,0
2023-04-27,104560332,96470,1130734,1087,949,44
2023-05-04,104646031,85699,1131826,1092,0,0
2023-05-11,104722264,76233,1133807,872,0,1109
